Signal Legend:

Key        Signal Name

0        = debug_num1[6..0]
1        = KEY[2]
2        = HEX5[6..0]
3        = HEX4[6..0]
4        = HEX4[6]
5        = HEX4[5]
6        = HEX4[4]
7        = HEX4[3]
8        = HEX4[2]
9        = HEX4[1]
10       = HEX4[0]

Data Table:

Signals-> 0   1 2   3   4 5 6 7 8 9 10 

sample

-594      00h 0 40h 02h 0 0 0 0 0 1 0  
-593      00h 0 40h 02h 0 0 0 0 0 1 0  
-592      00h 0 40h 02h 0 0 0 0 0 1 0  
-591      00h 0 40h 02h 0 0 0 0 0 1 0  
-590      00h 0 40h 02h 0 0 0 0 0 1 0  
-589      00h 0 40h 02h 0 0 0 0 0 1 0  
-588      00h 0 40h 02h 0 0 0 0 0 1 0  
-587      00h 0 40h 02h 0 0 0 0 0 1 0  
-586      00h 0 40h 02h 0 0 0 0 0 1 0  
-585      00h 0 40h 02h 0 0 0 0 0 1 0  
-584      00h 0 40h 02h 0 0 0 0 0 1 0  
-583      00h 0 40h 02h 0 0 0 0 0 1 0  
-582      00h 0 40h 02h 0 0 0 0 0 1 0  
-581      00h 0 40h 02h 0 0 0 0 0 1 0  
-580      00h 0 40h 02h 0 0 0 0 0 1 0  
-579      00h 0 40h 02h 0 0 0 0 0 1 0  
-578      00h 0 40h 02h 0 0 0 0 0 1 0  
-577      00h 0 40h 02h 0 0 0 0 0 1 0  
-576      00h 0 40h 02h 0 0 0 0 0 1 0  
-575      00h 0 40h 02h 0 0 0 0 0 1 0  
-574      00h 0 40h 02h 0 0 0 0 0 1 0  
-573      00h 0 40h 02h 0 0 0 0 0 1 0  
-572      00h 0 40h 02h 0 0 0 0 0 1 0  
-571      00h 0 40h 02h 0 0 0 0 0 1 0  
-570      00h 0 40h 02h 0 0 0 0 0 1 0  
-569      00h 0 40h 02h 0 0 0 0 0 1 0  
